program,n,k,mean_time_s,std_time_s
Program 3,10,2,1.5600002370774746e-05,0.0
Program 3,12,2,2.4500011932104826e-05,0.0
Program 3,14,2,4.7799956519156694e-05,0.0
Program 3,16,2,9.26000066101551e-05,0.0
Program 3,18,2,0.0001873999717645347,0.0
Program 3,20,2,0.0004021000349894166,0.0
Program 4A,10,2,1.260003773495555e-05,0.0
Program 4A,12,2,1.0600022505968809e-05,0.0
Program 4A,14,2,1.4199991710484028e-05,0.0
Program 4A,16,2,1.610000617802143e-05,0.0
Program 4A,18,2,1.750001683831215e-05,0.0
Program 4A,20,2,2.2199994418770075e-05,0.0
Program 4B,10,2,9.299954399466515e-06,0.0
Program 4B,12,2,6.799993570894003e-06,0.0
Program 4B,14,2,6.699992809444666e-06,0.0
Program 4B,16,2,8.400005754083395e-06,0.0
Program 4B,18,2,1.0300020221620798e-05,0.0
Program 4B,20,2,1.2100033927708864e-05,0.0
Program 5,10,2,4.099973011761904e-06,0.0
Program 5,12,2,3.00002284348011e-06,0.0
Program 5,14,2,2.5999615900218487e-06,0.0
Program 5,16,2,2.700020559132099e-06,0.0
Program 5,18,2,2.9999646358191967e-06,0.0
Program 5,20,2,3.300025127828121e-06,0.0
